Type,Results
Linear,"[np.float64(-3.5845809496579344), np.float64(-3.5845809489731706), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.584432644946448), np.float64(-3.5843213201244355), np.float64(-3.5842346792270052), np.float64(-3.584165330565049), np.float64(-3.584108568136346), np.float64(-3.584061249285591), np.float64(-3.58454150683171), np.float64(-3.5845379382365667), np.float64(-3.5845360580391095), np.float64(-3.5845331583847204), np.float64(-3.584529593395329), np.float64(-3.5845271115211266), np.float64(-3.584523928726043), np.float64(-3.5845213306629966), np.float64(-3.584518224805671), np.float64(-3.584787827512287), np.float64(-3.5850066864786405), np.float64(-3.5851878249142266), np.float64(-3.5853401046753235), np.float64(-3.585469993435768), np.float64(-3.585581924268266), np.float64(-3.585679334114847), np.float64(-3.5857648803444957), np.float64(-3.5858404968827733), np.float64(-3.5859078458054885), np.float64(-3.5859681430669923), np.float64(-3.5860224028735814), np.float64(-3.5860714808549026), np.float64(-3.5861161017117476), np.float64(-3.586156690903307), np.float64(-3.5863057082533585), np.float64(-3.5864406017690555), np.float64(-3.586563273297664), np.float64(-3.5866753544121948), np.float64(-3.586778050000982), np.float64(-3.586872531485228), np.float64(-3.586959721392841), np.float64(-3.5870403849063512), np.float64(-3.5871152478060173), np.float64(-3.5871848997081006), np.float64(-3.587249845166806), np.float64(-3.587310532558133), np.float64(-3.587367379909119), np.float64(-3.5874206723329918)]"
Linear,"[np.float64(-3.584580948973171), np.float64(-3.5845809489731706), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.584432644946448), np.float64(-3.5843213201244355), np.float64(-3.5842346792270052), np.float64(-3.5841653303748493), np.float64(-3.5841085684611205), np.float64(-3.584061249334467), np.float64(-3.584540380014884), np.float64(-3.5845379728694837), np.float64(-3.5845360182138437), np.float64(-3.584533243934142), np.float64(-3.584529330139673), np.float64(-3.584527200583892), np.float64(-3.5845240866225416), np.float64(-3.584521285215591), np.float64(-3.5845182807119214), np.float64(-3.584787997308241), np.float64(-3.585006737278996), np.float64(-3.58518778807858), np.float64(-3.585340156840424), np.float64(-3.5854699534316), np.float64(-3.5855819204851334), np.float64(-3.5856793280126538), np.float64(-3.585764846077823), np.float64(-3.5858404770503056), np.float64(-3.585907843190027), np.float64(-3.5859681723137427), np.float64(-3.5860224229030337), np.float64(-3.586071481042635), np.float64(-3.586116058541884), np.float64(-3.586156715833288), np.float64(-3.5863056919458325), np.float64(-3.586440576593607), np.float64(-3.586563320155251), np.float64(-3.5866753293798275), np.float64(-3.5867780408631296), np.float64(-3.586872520561122), np.float64(-3.586959701315659), np.float64(-3.587040383823359), np.float64(-3.587115254522936), np.float64(-3.58718490387444), np.float64(-3.5872498289774946), np.float64(-3.5873105394001383), np.float64(-3.5873673488565876), np.float64(-3.5874206712781422)]"
Linear,"[np.float64(-3.5845809490097444), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.584432644946448), np.float64(-3.5843213201244355), np.float64(-3.5842346792595654), np.float64(-3.5841653304041623), np.float64(-3.584108567790525), np.float64(-3.5840612493344675), np.float64(-3.5845413995631543), np.float64(-3.584538596085644), np.float64(-3.584536254151529), np.float64(-3.584531991498584), np.float64(-3.58453035024939), np.float64(-3.584527225354919), np.float64(-3.5845237979289757), np.float64(-3.5845209484656233), np.float64(-3.584518235086484), np.float64(-3.584787881502714), np.float64(-3.5850066180480082), np.float64(-3.585187809369371), np.float64(-3.5853401617993743), np.float64(-3.585470002610393), np.float64(-3.585581930427497), np.float64(-3.585679315858638), np.float64(-3.5857648567278724), np.float64(-3.5858404874636562), np.float64(-3.585907833860038), np.float64(-3.585968116826535), np.float64(-3.586022366602523), np.float64(-3.5860715011928206), np.float64(-3.5861160365362004), np.float64(-3.5861567013050717), np.float64(-3.586305701372562), np.float64(-3.586440623250992), np.float64(-3.5865632861509837), np.float64(-3.5866753264804703), np.float64(-3.58677805943874), np.float64(-3.5868725111634188), np.float64(-3.58695969951746), np.float64(-3.5870403760820286), np.float64(-3.5871152468856513), np.float64(-3.587184893123206), np.float64(-3.587249838801572), np.float64(-3.5873105200967004), np.float64(-3.5873673286857075), np.float64(-3.587420646461263)]"
Linear,"[np.float64(-3.5845809490097444), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.5844326436206244), np.float64(-3.5843213201244355), np.float64(-3.5842346794708955), np.float64(-3.5841653303748493), np.float64(-3.5841085679142273), np.float64(-3.58406124766966), np.float64(-3.5845414633272337), np.float64(-3.5845386594797475), np.float64(-3.584534552813285), np.float64(-3.584533244018901), np.float64(-3.584529553190746), np.float64(-3.58452720060214), np.float64(-3.584524079630581), np.float64(-3.584521365273893), np.float64(-3.5845185095270535), np.float64(-3.584787683028868), np.float64(-3.5850066864786405), np.float64(-3.5851878271042366), np.float64(-3.5853401587954616), np.float64(-3.585469989944939), np.float64(-3.5855819406711813), np.float64(-3.5856793575340826), np.float64(-3.5857648592735245), np.float64(-3.5858404874751653), np.float64(-3.5859078224875462), np.float64(-3.5859681128860244), np.float64(-3.586022419933039), np.float64(-3.586071495316047), np.float64(-3.58611605919749), np.float64(-3.5861567051326717), np.float64(-3.5863057235383895), np.float64(-3.5864406071362964), np.float64(-3.5865632779770427), np.float64(-3.5866753122731763), np.float64(-3.5867780490540135), np.float64(-3.586872520250453), np.float64(-3.5869597146579295), np.float64(-3.5870403738525996), np.float64(-3.5871152503139108), np.float64(-3.5871849024928473), np.float64(-3.5872498580839585), np.float64(-3.58731051222537), np.float64(-3.587367340405284), np.float64(-3.5874206485382416)]"
Linear,"[np.float64(-3.584580948973171), np.float64(-3.5845809489731706), np.float64(-3.584580949509768), np.float64(-3.584580949657935), np.float64(-3.5845809490088487), np.float64(-3.584580949806796), np.float64(-3.5844326438923217), np.float64(-3.5843213201244355), np.float64(-3.5842346792595654), np.float64(-3.5841653296371536), np.float64(-3.584108567790525), np.float64(-3.584061248035544), np.float64(-3.5845425047320667), np.float64(-3.584539381348187), np.float64(-3.5845355810990616), np.float64(-3.584533135787784), np.float64(-3.5845297494428627), np.float64(-3.584527095636911), np.float64(-3.584524456452937), np.float64(-3.584521394828765), np.float64(-3.5845170673479108), np.float64(-3.5847876343086487), np.float64(-3.585006613074694), np.float64(-3.5851878011660174), np.float64(-3.5853401553738578), np.float64(-3.5854699782332853), np.float64(-3.5855818947644362), np.float64(-3.585679328067613), np.float64(-3.585764835121296), np.float64(-3.5858405125615427), np.float64(-3.585907867028438), np.float64(-3.585968122423666), np.float64(-3.5860224017294238), np.float64(-3.5860715099591105), np.float64(-3.586116052010803), np.float64(-3.586156718959105), np.float64(-3.5863056857514186), np.float64(-3.5864405781666937), np.float64(-3.5865632924393602), np.float64(-3.586675355832969), np.float64(-3.58677803897738), np.float64(-3.586872526593985), np.float64(-3.5869597140289446), np.float64(-3.5870403689345194), np.float64(-3.5871152490147455), np.float64(-3.587184887736816), np.float64(-3.587249835004606), np.float64(-3.5873105341740414), np.float64(-3.587367333226708), np.float64(-3.5874206583460095)]"
Linear,"[np.float64(-3.5845809496579344), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.584432644946448), np.float64(-3.5843213201244355), np.float64(-3.5842346792595654), np.float64(-3.5841653298566665), np.float64(-3.584108568261555), np.float64(-3.5840612493344675), np.float64(-3.584541399467947), np.float64(-3.584538596109814), np.float64(-3.584534816102135), np.float64(-3.5845325635358947), np.float64(-3.5845289945301646), np.float64(-3.584527095736773), np.float64(-3.5845244566321464), np.float64(-3.5845209419579724), np.float64(-3.5845170675370936), np.float64(-3.5847876071234914), np.float64(-3.5850066180480082), np.float64(-3.585187780196182), np.float64(-3.585340157282068), np.float64(-3.585470007697422), np.float64(-3.5855819027473297), np.float64(-3.5856793359673995), np.float64(-3.585764875607068), np.float64(-3.5858405054802187), np.float64(-3.585907830642598), np.float64(-3.585968144500935), np.float64(-3.586022392261576), np.float64(-3.586071486694933), np.float64(-3.586116075409538), np.float64(-3.5861567013050717), np.float64(-3.5863057000252074), np.float64(-3.5864405745065726), np.float64(-3.586563297698592), np.float64(-3.5866752959255654), np.float64(-3.586778041232166), np.float64(-3.586872539682025), np.float64(-3.586959702245892), np.float64(-3.5870403859425277), np.float64(-3.5871152471869703), np.float64(-3.587184920558694), np.float64(-3.58724983469926), np.float64(-3.5873105231087505), np.float64(-3.58736737209629), np.float64(-3.5874206983161976)]"
Linear,"[np.float64(-3.584580948973171), np.float64(-3.5845809489731706), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.584432644946448), np.float64(-3.5843213201244355), np.float64(-3.5842346792270052), np.float64(-3.584165330565049), np.float64(-3.584108568335912), np.float64(-3.584061250149075), np.float64(-3.584540432051166), np.float64(-3.5845378622318136), np.float64(-3.5845353012228136), np.float64(-3.584532604838835), np.float64(-3.584529604766647), np.float64(-3.5845274096672024), np.float64(-3.5845244056172016), np.float64(-3.584521306039554), np.float64(-3.584518235086484), np.float64(-3.584787681989413), np.float64(-3.58500669460779), np.float64(-3.5851877658294686), np.float64(-3.585340132804693), np.float64(-3.5854699964599366), np.float64(-3.5855819066904626), np.float64(-3.5856793365195085), np.float64(-3.585764851719688), np.float64(-3.58584050343479), np.float64(-3.58590782739172), np.float64(-3.5859681171165994), np.float64(-3.586022437260449), np.float64(-3.5860715170272277), np.float64(-3.586116044857736), np.float64(-3.586156695750631), np.float64(-3.586305701372562), np.float64(-3.586440610745248), np.float64(-3.586563296752823), np.float64(-3.586675329547247), np.float64(-3.5867780401893716), np.float64(-3.58687254288278), np.float64(-3.5869597132743287), np.float64(-3.5870403775187345), np.float64(-3.5871152765673804), np.float64(-3.587184899204602), np.float64(-3.5872498495943628), np.float64(-3.5873105266709286), np.float64(-3.587367333226708), np.float64(-3.5874206559619886)]"
Linear,"[np.float64(-3.5845809490097444), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.5844326436206244), np.float64(-3.5843213201244355), np.float64(-3.5842346792595654), np.float64(-3.5841653298566665), np.float64(-3.584108568335912), np.float64(-3.5840612488990287), np.float64(-3.5845404379475854), np.float64(-3.584539381348202), np.float64(-3.584534529771416), np.float64(-3.5845328171551345), np.float64(-3.5845303278296266), np.float64(-3.584527409631162), np.float64(-3.5845237892800164), np.float64(-3.584521306069986), np.float64(-3.584518235080002), np.float64(-3.584787681989413), np.float64(-3.5850066135601115), np.float64(-3.5851878333738494), np.float64(-3.5853401469392536), np.float64(-3.5854700061757394), np.float64(-3.585581938129839), np.float64(-3.585679341083599), np.float64(-3.5857648804701654), np.float64(-3.585840492366529), np.float64(-3.5859078299318683), np.float64(-3.585968130857117), np.float64(-3.586022384916343), np.float64(-3.5860714674223413), np.float64(-3.5861160302029567), np.float64(-3.5861566997570664), np.float64(-3.5863056895512146), np.float64(-3.5864406114813105), np.float64(-3.5865633194994992), np.float64(-3.5866753087202805), np.float64(-3.5867780319677016), np.float64(-3.5868725179301446), np.float64(-3.5869596991428736), np.float64(-3.5870403740846744), np.float64(-3.5871152556054637), np.float64(-3.587184891797941), np.float64(-3.587249822966273), np.float64(-3.587310522960421), np.float64(-3.5873673509431416), np.float64(-3.587420659264681)]"
Linear,"[np.float64(-3.5845809490097444), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.5844326436206244), np.float64(-3.5843213201244355), np.float64(-3.5842346792595654), np.float64(-3.5841653296371536), np.float64(-3.584108567790525), np.float64(-3.5840612493344675), np.float64(-3.584541399467947), np.float64(-3.584538596109814), np.float64(-3.5845355488191073), np.float64(-3.5845327709421353), np.float64(-3.5845283650513404), np.float64(-3.5845272006825186), np.float64(-3.584524086523263), np.float64(-3.5845212853266464), np.float64(-3.5845185097668426), np.float64(-3.584787683028868), np.float64(-3.5850066104697413), np.float64(-3.5851877847551883), np.float64(-3.5853401626581847), np.float64(-3.5854699687990768), np.float64(-3.585581922643878), np.float64(-3.58567933475163), np.float64(-3.585764838000208), np.float64(-3.5858405128488005), np.float64(-3.585907843259013), np.float64(-3.5859681343512197), np.float64(-3.586022366380361), np.float64(-3.5860714715881743), np.float64(-3.5861160752881975), np.float64(-3.5861567015348097), np.float64(-3.5863056906590747), np.float64(-3.586440621031317), np.float64(-3.586563269854246), np.float64(-3.5866753590634635), np.float64(-3.586778060767079), np.float64(-3.586872542899746), np.float64(-3.586959685870619), np.float64(-3.5870403959650803), np.float64(-3.5871152375466497), np.float64(-3.587184902992165), np.float64(-3.587249822966273), np.float64(-3.58731052516167), np.float64(-3.5873673890128437), np.float64(-3.587420655578832)]"
Linear,"[np.float64(-3.5845809496579344), np.float64(-3.5845809490097444), np.float64(-3.5845809498755044), np.float64(-3.584580949657935), np.float64(-3.5845809497468424), np.float64(-3.584580949806796), np.float64(-3.5844326436206244), np.float64(-3.5843213201244355), np.float64(-3.5842346800467237), np.float64(-3.5841653313027453), np.float64(-3.584108568335912), np.float64(-3.5840612492160346), np.float64(-3.5845415242512844), np.float64(-3.5845386925724587), np.float64(-3.584534584241501), np.float64(-3.5845332436180257), np.float64(-3.5845299808658453), np.float64(-3.5845270956368855), np.float64(-3.5845242018837524), np.float64(-3.5845209294871374), np.float64(-3.5845170673608426), np.float64(-3.5847875510126044), np.float64(-3.5850067394698035), np.float64(-3.585187800101902), np.float64(-3.585340177666649), np.float64(-3.58547000818917), np.float64(-3.5855818942602684), np.float64(-3.5856793315370643), np.float64(-3.585764852505678), np.float64(-3.5858405062216634), np.float64(-3.585907863065614), np.float64(-3.585968133911387), np.float64(-3.5860224132189185), np.float64(-3.5860714978413295), np.float64(-3.586116056907421), np.float64(-3.5861567068740134), np.float64(-3.5863056896076944), np.float64(-3.58644063938792), np.float64(-3.5865633109903654), np.float64(-3.5866753164629306), np.float64(-3.586778043134914), np.float64(-3.586872538232315), np.float64(-3.586959702273753), np.float64(-3.5870403703654166), np.float64(-3.5871152454072286), np.float64(-3.5871849103747673), np.float64(-3.5872498595760502), np.float64(-3.5873105375609935), np.float64(-3.587367333148075), np.float64(-3.5874206574898944)]"
