Type,Results
Linear,"[np.float64(-3.5829604342504138), np.float64(-3.5828077561079428), np.float64(-3.5828003975191915), np.float64(-3.58296116952444), np.float64(-3.5829047539737697), np.float64(-3.582861757651058), np.float64(-3.583293666047135), np.float64(-3.583699375397071), np.float64(-3.5836992204399687), np.float64(-3.583723632482463), np.float64(-3.584106045926503), np.float64(-3.584038430454373), np.float64(-3.584038430454373), np.float64(-3.58396659445461), np.float64(-3.5840755224121312), np.float64(-3.583986075182251), np.float64(-3.583914680191673), np.float64(-3.583913977109135), np.float64(-3.583913977109135), np.float64(-3.583721545806836), np.float64(-3.5836289982924288), np.float64(-3.5837969204578117), np.float64(-3.5837969204578117), np.float64(-3.583589351046695), np.float64(-3.583589351046695), np.float64(-3.5833770371932), np.float64(-3.5834997024500197), np.float64(-3.5834997024500197), np.float64(-3.5834997024500197), np.float64(-3.5834997024500197), np.float64(-3.583353573232169), np.float64(-3.583353573232169), np.float64(-3.583353573232169), np.float64(-3.5834336767058907), np.float64(-3.583178641312517), np.float64(-3.583215547659543), np.float64(-3.583445233804434), np.float64(-3.583445233804434), np.float64(-3.5834015065383227), np.float64(-3.5834015065383227), np.float64(-3.5834015065383227), np.float64(-3.5834015065383227), np.float64(-3.5834013972231133), np.float64(-3.583385019225978), np.float64(-3.58338488999261), np.float64(-3.58338488999261), np.float64(-3.58338488999261), np.float64(-3.5833848727279745), np.float64(-3.583660966983297), np.float64(-3.583660966983297), np.float64(-3.5837621255976053), np.float64(-3.5837621255976053), np.float64(-3.583991819704676), np.float64(-3.583991819704676), np.float64(-3.583991819704676), np.float64(-3.583991819704676), np.float64(-3.583991819704676), np.float64(-3.5843554981321706), np.float64(-3.5843554981321706), np.float64(-3.584620372179354), np.float64(-3.5850709343737317), np.float64(-3.5850709343737317), np.float64(-3.5850709343737317), np.float64(-3.585071017645996), np.float64(-3.585071017645996), np.float64(-3.585853184785118), np.float64(-3.585853184785118), np.float64(-3.585853184785118), np.float64(-3.585853184785118), np.float64(-3.587474586145441), np.float64(-3.587474586145441), np.float64(-3.587474586145441), np.float64(-3.587474586145441), np.float64(-3.587474586145441), np.float64(-3.587474586145441), np.float64(-3.587424296025854), np.float64(-3.587424296025854)]"
Linear,"[np.float64(-3.5840702998456573), np.float64(-3.5839130647293147), np.float64(-3.583923550130769), np.float64(-3.5843293322728567), np.float64(-3.5843293322728567), np.float64(-3.584329165643413), np.float64(-3.584378936062251), np.float64(-3.5844448964950377), np.float64(-3.584391991702545), np.float64(-3.584391991702545), np.float64(-3.584391991702545), np.float64(-3.5844712688300504), np.float64(-3.5844712688300504), np.float64(-3.5844712688300504), np.float64(-3.584362599257816), np.float64(-3.584362599257816), np.float64(-3.584362599257816), np.float64(-3.5842729960477544), np.float64(-3.5842089449947423), np.float64(-3.5843184090234255), np.float64(-3.5843184090234255), np.float64(-3.58426127618789), np.float64(-3.584336896399494), np.float64(-3.584336896399494), np.float64(-3.5842589146586894), np.float64(-3.5842589146586894), np.float64(-3.5842589146586894), np.float64(-3.584228220183026), np.float64(-3.584015987059969), np.float64(-3.583824225723197), np.float64(-3.583824225723197), np.float64(-3.583728698640009), np.float64(-3.5835534186033993), np.float64(-3.5835534186033993), np.float64(-3.583715157385254), np.float64(-3.5838529148896976), np.float64(-3.5838529148896976), np.float64(-3.5837179258214347), np.float64(-3.583817118591449), np.float64(-3.583892058741264), np.float64(-3.5836361921787523), np.float64(-3.583370887999615), np.float64(-3.583370887999615), np.float64(-3.5833707885329007), np.float64(-3.5833707643784916), np.float64(-3.5833708130617405), np.float64(-3.5835829810110567), np.float64(-3.583512944676428), np.float64(-3.583465445231705), np.float64(-3.583465445231705), np.float64(-3.583465445231705), np.float64(-3.583465445231705), np.float64(-3.583465445231705), np.float64(-3.5835042257067458), np.float64(-3.583679046150836), np.float64(-3.5839467502570046), np.float64(-3.5840299587937907), np.float64(-3.5840299587937907), np.float64(-3.5840299587937907), np.float64(-3.5840299587937907), np.float64(-3.5840299587937907), np.float64(-3.5841876633484295), np.float64(-3.5841876633484295), np.float64(-3.584638874032077), np.float64(-3.5850761328330085), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.5858531782376994), np.float64(-3.58734511443408), np.float64(-3.58734511443408), np.float64(-3.58734511443408), np.float64(-3.587424327604105)]"
Linear,"[np.float64(-3.5835922093271653), np.float64(-3.5836621271345734), np.float64(-3.583674653066242), np.float64(-3.5840058348138975), np.float64(-3.5838238105381097), np.float64(-3.5837381286746375), np.float64(-3.5840781713453076), np.float64(-3.584072377831936), np.float64(-3.5844197357898597), np.float64(-3.5844651025444456), np.float64(-3.5845382765811187), np.float64(-3.5845848442026513), np.float64(-3.5844332605702967), np.float64(-3.5848371702144313), np.float64(-3.584856680442223), np.float64(-3.584856680442223), np.float64(-3.5848565224078213), np.float64(-3.584906019486351), np.float64(-3.584834546539833), np.float64(-3.584834546539833), np.float64(-3.584834546539833), np.float64(-3.5848687772337726), np.float64(-3.585030513156468), np.float64(-3.584947147514468), np.float64(-3.584857788936956), np.float64(-3.584857788936956), np.float64(-3.5852453151703583), np.float64(-3.5851020132337377), np.float64(-3.5851020219349796), np.float64(-3.5851020219349796), np.float64(-3.5851020219349796), np.float64(-3.584809640487836), np.float64(-3.584544584136151), np.float64(-3.5846859042369554), np.float64(-3.5844161019121166), np.float64(-3.5844161019121166), np.float64(-3.5841317143921065), np.float64(-3.5838861066460734), np.float64(-3.58366681394408), np.float64(-3.583471510324764), np.float64(-3.583275198153784), np.float64(-3.583275198153784), np.float64(-3.5829662058024576), np.float64(-3.5829662058024576), np.float64(-3.5831413418250833), np.float64(-3.5831413418250833), np.float64(-3.583041335762294), np.float64(-3.583041335762294), np.float64(-3.583041335762294), np.float64(-3.583215853007395), np.float64(-3.583215853007395), np.float64(-3.5834600254753775), np.float64(-3.5834600254753775), np.float64(-3.5834600254753775), np.float64(-3.5834600254753775), np.float64(-3.5834600254753775), np.float64(-3.5836127270527247), np.float64(-3.5836127270527247), np.float64(-3.5836127270527247), np.float64(-3.5836511552673405), np.float64(-3.5836511552673405), np.float64(-3.5836511552673405), np.float64(-3.583660537860479), np.float64(-3.583660537860479), np.float64(-3.5837618209040096), np.float64(-3.5840975911982236), np.float64(-3.5840975911982236), np.float64(-3.5843553936428476), np.float64(-3.5847949699120867), np.float64(-3.58522735245796), np.float64(-3.58597585652763), np.float64(-3.58597585652763), np.float64(-3.5874242771475906), np.float64(-3.587424307777983), np.float64(-3.587424307777983), np.float64(-3.587424307777983), np.float64(-3.587424307777983)]"
Linear,"[np.float64(-3.5845948457534593), np.float64(-3.5848417513991144), np.float64(-3.5848417543202253), np.float64(-3.5847646683636416), np.float64(-3.584781022348114), np.float64(-3.5847997638678963), np.float64(-3.584797715632387), np.float64(-3.584802071909728), np.float64(-3.584806470850467), np.float64(-3.5847713961452694), np.float64(-3.5846081425702137), np.float64(-3.584633702791765), np.float64(-3.5846173079472647), np.float64(-3.5846173079472647), np.float64(-3.5846173079472647), np.float64(-3.5844914895796487), np.float64(-3.5847869819162863), np.float64(-3.5848658217463596), np.float64(-3.5848658217463596), np.float64(-3.5848865087143733), np.float64(-3.5848262012492835), np.float64(-3.584826210642171), np.float64(-3.584826210642171), np.float64(-3.584761806274699), np.float64(-3.5849484591330105), np.float64(-3.585112962194953), np.float64(-3.585256042478578), np.float64(-3.5850408842371104), np.float64(-3.584872306339286), np.float64(-3.5847403891254856), np.float64(-3.5847403891254856), np.float64(-3.5845139583053314), np.float64(-3.5845139583053314), np.float64(-3.5845139159305246), np.float64(-3.584357528543012), np.float64(-3.5841235355444665), np.float64(-3.5841235355444665), np.float64(-3.5838844393077727), np.float64(-3.5838844393077727), np.float64(-3.5838844393077727), np.float64(-3.5836389550031242), np.float64(-3.5836389550031242), np.float64(-3.583465189122342), np.float64(-3.5834651111818467), np.float64(-3.5834651111818467), np.float64(-3.5834651111818467), np.float64(-3.583447276575309), np.float64(-3.5835700541392868), np.float64(-3.5835699655215674), np.float64(-3.5837747457915126), np.float64(-3.5837747457915126), np.float64(-3.583774652848807), np.float64(-3.5837266729270363), np.float64(-3.583759988704257), np.float64(-3.583759988704257), np.float64(-3.583816168986412), np.float64(-3.583816168986412), np.float64(-3.583816168986412), np.float64(-3.583816168986412), np.float64(-3.58385763294937), np.float64(-3.5839920070280145), np.float64(-3.584187778413107), np.float64(-3.584187778413107), np.float64(-3.584187778413107), np.float64(-3.5846390036479145), np.float64(-3.5846390036479145), np.float64(-3.5846390036479145), np.float64(-3.5852275206737296), np.float64(-3.5852275206737296), np.float64(-3.5852275206737296), np.float64(-3.585957460151441), np.float64(-3.587424317003868), np.float64(-3.587424317003868), np.float64(-3.587424317003868), np.float64(-3.587424317003868), np.float64(-3.587424317003868), np.float64(-3.587424317003868)]"
Linear,"[np.float64(-3.583686375809865), np.float64(-3.583686378807319), np.float64(-3.5836061833516126), np.float64(-3.5836076864970123), np.float64(-3.583924251869017), np.float64(-3.5838107907104564), np.float64(-3.5837465088217977), np.float64(-3.5836348857873688), np.float64(-3.5834776159109376), np.float64(-3.5834776159109376), np.float64(-3.5834776159109376), np.float64(-3.583221074790356), np.float64(-3.5828873188587322), np.float64(-3.582841162235605), np.float64(-3.5827625725337384), np.float64(-3.5829955272374363), np.float64(-3.582748310795187), np.float64(-3.5831647289974833), np.float64(-3.5831646501847105), np.float64(-3.5833173240730645), np.float64(-3.5836523108619938), np.float64(-3.5836523108619938), np.float64(-3.5836523108619938), np.float64(-3.5835887825911446), np.float64(-3.583621358882161), np.float64(-3.583621358882161), np.float64(-3.5834341701198507), np.float64(-3.583497205507085), np.float64(-3.583622079995591), np.float64(-3.583395227940382), np.float64(-3.5833952043391903), np.float64(-3.5833952043391903), np.float64(-3.5833952043391903), np.float64(-3.583439278384606), np.float64(-3.5836229540244924), np.float64(-3.5836229540244924), np.float64(-3.583397464089896), np.float64(-3.58354537818573), np.float64(-3.583400374488125), np.float64(-3.5831521963077018), np.float64(-3.5829870707683455), np.float64(-3.5829917695549405), np.float64(-3.5829916912815296), np.float64(-3.5832176325402925), np.float64(-3.5832176325402925), np.float64(-3.5832176325402925), np.float64(-3.5832176325402925), np.float64(-3.5834397758848664), np.float64(-3.5834397758848664), np.float64(-3.5834397758848664), np.float64(-3.5834449880460273), np.float64(-3.5834449880460273), np.float64(-3.5834011947413718), np.float64(-3.583651425586618), np.float64(-3.583651425586618), np.float64(-3.583651425586618), np.float64(-3.583651425586618), np.float64(-3.583651425586618), np.float64(-3.5839120033862337), np.float64(-3.5839120033862337), np.float64(-3.583912008034059), np.float64(-3.5839120190531943), np.float64(-3.5839120190531943), np.float64(-3.5839120190531943), np.float64(-3.5840816456204423), np.float64(-3.5840816456204423), np.float64(-3.5840816456204423), np.float64(-3.58420320354824), np.float64(-3.58420320354824), np.float64(-3.58420320354824), np.float64(-3.584355640047473), np.float64(-3.584795230633121), np.float64(-3.5852274274529883), np.float64(-3.5859758921531184), np.float64(-3.587474577654435), np.float64(-3.587474577654435), np.float64(-3.5874243306538194)]"
Linear,"[np.float64(-3.583230865564116), np.float64(-3.5835652335912878), np.float64(-3.583483626710721), np.float64(-3.583505979509301), np.float64(-3.5835041035609057), np.float64(-3.5838403955324356), np.float64(-3.583822817900015), np.float64(-3.583822817900015), np.float64(-3.5837794625022887), np.float64(-3.584163223529537), np.float64(-3.5841631213221365), np.float64(-3.5840075049121634), np.float64(-3.5840619665608617), np.float64(-3.5840044703006173), np.float64(-3.5838747567095224), np.float64(-3.5838079422727507), np.float64(-3.583689223509472), np.float64(-3.583689223509472), np.float64(-3.583587483854833), np.float64(-3.583587483854833), np.float64(-3.5836346064928906), np.float64(-3.583894693652992), np.float64(-3.583894693652992), np.float64(-3.5841239413030177), np.float64(-3.5841239413030177), np.float64(-3.58389708846067), np.float64(-3.5838863160695125), np.float64(-3.5838863160695125), np.float64(-3.5837710168637407), np.float64(-3.5837710168637407), np.float64(-3.5837710168637407), np.float64(-3.5837710168637407), np.float64(-3.5839217607762333), np.float64(-3.5837819572778264), np.float64(-3.5838911867579073), np.float64(-3.583723389157847), np.float64(-3.583723389157847), np.float64(-3.583723389157847), np.float64(-3.5835418763927867), np.float64(-3.5835418763927867), np.float64(-3.583486737119805), np.float64(-3.583486737119805), np.float64(-3.583486737119805), np.float64(-3.583288605483599), np.float64(-3.583288605483599), np.float64(-3.583288488172809), np.float64(-3.583288488172809), np.float64(-3.583288488172809), np.float64(-3.5832257696960674), np.float64(-3.5832257047099443), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.58346533031175), np.float64(-3.5834447645493124), np.float64(-3.5834447645493124), np.float64(-3.583444622027922), np.float64(-3.5837142845418124), np.float64(-3.5837142845418124), np.float64(-3.583762065195497), np.float64(-3.5839095750562038), np.float64(-3.58418767909008), np.float64(-3.58418767909008), np.float64(-3.58418767909008), np.float64(-3.5846388617332323), np.float64(-3.5850760866060485), np.float64(-3.5858378086025073), np.float64(-3.5873451368147062), np.float64(-3.587424327704248)]"
Linear,"[np.float64(-3.583759308992483), np.float64(-3.5837593064769404), np.float64(-3.5840615207598985), np.float64(-3.5840388745677627), np.float64(-3.5838887493935507), np.float64(-3.583877304582371), np.float64(-3.5838968605565804), np.float64(-3.5839138155065235), np.float64(-3.583783443850662), np.float64(-3.5837833503800223), np.float64(-3.583725421756921), np.float64(-3.5837254423039044), np.float64(-3.5837949460935534), np.float64(-3.5837320477656314), np.float64(-3.5838182946857176), np.float64(-3.5838182946857176), np.float64(-3.5838182946857176), np.float64(-3.58422775916352), np.float64(-3.58422775916352), np.float64(-3.5846228694061146), np.float64(-3.5850082378160053), np.float64(-3.5850082378160053), np.float64(-3.5850082518845534), np.float64(-3.584914033174396), np.float64(-3.5849140102009134), np.float64(-3.5849140102009134), np.float64(-3.58491406333201), np.float64(-3.58491406333201), np.float64(-3.58491406333201), np.float64(-3.58491406333201), np.float64(-3.58491406333201), np.float64(-3.584705825026091), np.float64(-3.5844987683254566), np.float64(-3.5844987683254566), np.float64(-3.5844987683254566), np.float64(-3.584674515447695), np.float64(-3.584453105378684), np.float64(-3.58432666852442), np.float64(-3.584191551192927), np.float64(-3.584191551192927), np.float64(-3.5840466761382936), np.float64(-3.5838910676641347), np.float64(-3.5836372145482236), np.float64(-3.5837066378959888), np.float64(-3.5837478028162773), np.float64(-3.5837478028162773), np.float64(-3.583660445235806), np.float64(-3.58359387762353), np.float64(-3.58359387762353), np.float64(-3.58359387762353), np.float64(-3.58359387762353), np.float64(-3.583550162020531), np.float64(-3.583550162020531), np.float64(-3.5835341892321915), np.float64(-3.5835341892321915), np.float64(-3.583534064433793), np.float64(-3.583533923788838), np.float64(-3.5837148625015716), np.float64(-3.583714720087409), np.float64(-3.5839939524048576), np.float64(-3.5841289920352075), np.float64(-3.5841289920352075), np.float64(-3.5841289920352075), np.float64(-3.584326492740855), np.float64(-3.584326484862327), np.float64(-3.584620370518799), np.float64(-3.584620370518799), np.float64(-3.584620370518799), np.float64(-3.5850711366731387), np.float64(-3.5850711366731387), np.float64(-3.5850711366731387), np.float64(-3.5850711366731387), np.float64(-3.58585318327), np.float64(-3.5873451344849583), np.float64(-3.5873451344849583), np.float64(-3.5874242875246534), np.float64(-3.5874242875246534)]"
Linear,"[np.float64(-3.584041539418564), np.float64(-3.5839749221829584), np.float64(-3.5839083696714207), np.float64(-3.5841519632071757), np.float64(-3.584053940258444), np.float64(-3.583987919884919), np.float64(-3.5839585217976406), np.float64(-3.5838144138111625), np.float64(-3.5837996642448378), np.float64(-3.5837089182161073), np.float64(-3.5837981160178956), np.float64(-3.5841068637541724), np.float64(-3.5841068637541724), np.float64(-3.5841068637541724), np.float64(-3.5840013190695457), np.float64(-3.5840013190695457), np.float64(-3.5840013190695457), np.float64(-3.5837866836020336), np.float64(-3.5837866836020336), np.float64(-3.5837866836020336), np.float64(-3.5837866836020336), np.float64(-3.5835435917818237), np.float64(-3.5835436102909517), np.float64(-3.5835436102909517), np.float64(-3.5835436102909517), np.float64(-3.583348218798985), np.float64(-3.583500664741463), np.float64(-3.583500664741463), np.float64(-3.5835006509708682), np.float64(-3.583494940786286), np.float64(-3.583494940786286), np.float64(-3.583494940786286), np.float64(-3.583244572475424), np.float64(-3.582987112762868), np.float64(-3.582987112762868), np.float64(-3.5827211721399834), np.float64(-3.5827211721399834), np.float64(-3.5827211376223915), np.float64(-3.5827211376223915), np.float64(-3.582970686003442), np.float64(-3.5829747323441277), np.float64(-3.582991816169691), np.float64(-3.582991816169691), np.float64(-3.582991816169691), np.float64(-3.582991816169691), np.float64(-3.582991708498555), np.float64(-3.5832565019500917), np.float64(-3.5832565019500917), np.float64(-3.5832565019500917), np.float64(-3.5832565019500917), np.float64(-3.5832411515621967), np.float64(-3.5832411515621967), np.float64(-3.583540147577254), np.float64(-3.583651323651954), np.float64(-3.5839097072680732), np.float64(-3.5839097072680732), np.float64(-3.5840932118404965), np.float64(-3.5844054587953025), np.float64(-3.5844054587953025), np.float64(-3.5844054587953025), np.float64(-3.5844054587953025), np.float64(-3.584917652578147), np.float64(-3.5860211516729716), np.float64(-3.587990507580825), np.float64(-3.587990507580825), np.float64(-3.587990507580825), np.float64(-3.587990507580825), np.float64(-3.587990507580825), np.float64(-3.587990507580825), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285), np.float64(-3.5874243107287285)]"
Linear,"[np.float64(-3.5836394590233462), np.float64(-3.5836394590233462), np.float64(-3.5835148109379267), np.float64(-3.583340560699627), np.float64(-3.583164963725787), np.float64(-3.583015144321391), np.float64(-3.582751815228877), np.float64(-3.582751815228877), np.float64(-3.58272056570996), np.float64(-3.58272056570996), np.float64(-3.58272056570996), np.float64(-3.58272056570996), np.float64(-3.582543442985413), np.float64(-3.5825201663740307), np.float64(-3.5825200800375154), np.float64(-3.582498092731186), np.float64(-3.5824768778531575), np.float64(-3.5828009041621995), np.float64(-3.5828009041621995), np.float64(-3.5828009041621995), np.float64(-3.582651291992168), np.float64(-3.5825473608241856), np.float64(-3.5825473608241856), np.float64(-3.5828453190204295), np.float64(-3.5829240260672086), np.float64(-3.5829240260672086), np.float64(-3.5831252651011645), np.float64(-3.5831253054841), np.float64(-3.5829927454574237), np.float64(-3.5831468864153395), np.float64(-3.582946498249843), np.float64(-3.5826823699104255), np.float64(-3.5825018798916934), np.float64(-3.5822278212394782), np.float64(-3.5822278212394782), np.float64(-3.5821287149020318), np.float64(-3.5821287149020318), np.float64(-3.582416322595038), np.float64(-3.582416322595038), np.float64(-3.582699037671053), np.float64(-3.582917645849301), np.float64(-3.582917645849301), np.float64(-3.582917645849301), np.float64(-3.582917645849301), np.float64(-3.582917645849301), np.float64(-3.5829551751540776), np.float64(-3.5829551751540776), np.float64(-3.5830130255322614), np.float64(-3.5830130255322614), np.float64(-3.5830128969690236), np.float64(-3.5830128969690236), np.float64(-3.5830128969690236), np.float64(-3.5830128969690236), np.float64(-3.583250763407305), np.float64(-3.583564390940005), np.float64(-3.583909910456021), np.float64(-3.583909910456021), np.float64(-3.583909910456021), np.float64(-3.583909910456021), np.float64(-3.583909910456021), np.float64(-3.5839098543332097), np.float64(-3.584307691338057), np.float64(-3.5846238710459986), np.float64(-3.5846238710459986), np.float64(-3.5851195945874714), np.float64(-3.5851195945874714), np.float64(-3.5851195945874714), np.float64(-3.5851195945874714), np.float64(-3.5851195945874714), np.float64(-3.5851195945874714), np.float64(-3.586158806622754), np.float64(-3.5879904772753477), np.float64(-3.5879904772753477), np.float64(-3.5874243128851013), np.float64(-3.5874243128851013), np.float64(-3.5874243128851013), np.float64(-3.5874243128851013)]"
Linear,"[np.float64(-3.584173424522971), np.float64(-3.5841964086641536), np.float64(-3.584176136768832), np.float64(-3.584419488162476), np.float64(-3.584390718220617), np.float64(-3.5843740791798995), np.float64(-3.584275779149995), np.float64(-3.584166050619098), np.float64(-3.584081127657864), np.float64(-3.583983558306386), np.float64(-3.583983542103222), np.float64(-3.583872973303409), np.float64(-3.583872973303409), np.float64(-3.583721269260748), np.float64(-3.583721188647454), np.float64(-3.5836679664214515), np.float64(-3.5836383646405676), np.float64(-3.583500143780508), np.float64(-3.583500143780508), np.float64(-3.583544310787884), np.float64(-3.5835380345838423), np.float64(-3.5838184381395246), np.float64(-3.5840880653056795), np.float64(-3.5839946511298666), np.float64(-3.5839946511298666), np.float64(-3.583994611333084), np.float64(-3.5837913260551977), np.float64(-3.5835893402415535), np.float64(-3.583722961908382), np.float64(-3.5835400464256297), np.float64(-3.583647610018991), np.float64(-3.583647610018991), np.float64(-3.58340883057332), np.float64(-3.58340883057332), np.float64(-3.583241541546592), np.float64(-3.5830935669061423), np.float64(-3.5829918394728875), np.float64(-3.5829918394728875), np.float64(-3.5829918394728875), np.float64(-3.5829918394728875), np.float64(-3.5829918394728875), np.float64(-3.5829918394728875), np.float64(-3.5829917843586077), np.float64(-3.582984198567042), np.float64(-3.583215471590628), np.float64(-3.583215471590628), np.float64(-3.583445084437396), np.float64(-3.583445084437396), np.float64(-3.58346523070801), np.float64(-3.583444533882415), np.float64(-3.583444533882415), np.float64(-3.583714108783343), np.float64(-3.58376201537335), np.float64(-3.58376201537335), np.float64(-3.58376201537335), np.float64(-3.584097737687929), np.float64(-3.584097737687929), np.float64(-3.584097737687929), np.float64(-3.584097737687929), np.float64(-3.5844850876588663), np.float64(-3.5844850876588663), np.float64(-3.58479420726879), np.float64(-3.58479420726879), np.float64(-3.5852555708386418), np.float64(-3.5852555708386418), np.float64(-3.5852555708386418), np.float64(-3.5852555708386418), np.float64(-3.5852555708386418), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.5861582150823827), np.float64(-3.587989572511071), np.float64(-3.587424304885724)]"
