CGBEM_Zero,CGBEM_Bias,CDRZERO_linear,CDRZERO_nonlinear,CDRZERO_xgb,CDRZERO_mlp,CDRBIASED_linear,CDRBIASED_nonlinear,CDRBIASED_xgb,CDRBIASED_mlp
-3.487938958485603,-3.5531997625769427,-3.5748169532816894,-3.566531037370698,-3.4097266,-3.788426256587554,-3.5838160049395356,-3.5858904156264657,-3.5565507,-4.0268950939674895
-3.487938958485604,-3.5531997822581927,-3.574105096016524,-3.5637807570330224,-3.4147625,-3.7694173313790023,-3.585197157564583,-3.586313894936751,-3.5587442,-3.7703808236163763
-3.487938967169507,-3.5531997822581927,-3.573202436087225,-3.56430823052278,-3.4131722,-3.7688259929204886,-3.583677594144664,-3.583410924152064,-3.5559585,-3.803437264656641
-3.487938967169507,-3.5531997822581944,-3.5726477853157506,-3.5635393182081145,-3.4119322,-3.763175362367005,-3.5827751429102976,-3.5851623072754677,-3.556257,-3.756480701876651
-3.487938958485604,-3.5531997822581927,-3.575376452541956,-3.5686969092166727,-3.430769,-4.13654113466172,-3.584627881848353,-3.5859583136483124,-3.557676,-4.052813577709662
-3.487938967169505,-3.5531997625769423,-3.573656253653011,-3.56666437812288,-3.413503,-3.7285623236173673,-3.5839656276927707,-3.5853753845487475,-3.5567386,-3.7657111460482553
-3.4879389671695074,-3.5531997822581913,-3.57328023082259,-3.5655975637493036,-3.4182916,-3.720392216273897,-3.5842251522125377,-3.5854572709859767,-3.5571241,-3.8749585470924113
-3.4879389671695082,-3.553199762576946,-3.573120873542807,-3.5660288278269334,-3.4192886,-3.780466924408329,-3.583844224207877,-3.5822453521419675,-3.555591,-4.046239586124124
-3.4879389584856013,-3.553199762576943,-3.574417531739844,-3.5663473725341603,-3.424927,-3.7298085846940294,-3.5847587998088253,-3.5851990108512606,-3.559546,-3.7818982022265084
-3.4879389671695082,-3.5531997822581936,-3.573087914486452,-3.565549545259639,-3.4257598,-4.141549178416648,-3.583707295316274,-3.5851540323609754,-3.5568705,-3.7903401539477186
-3.4879389671695082,-3.553199782258193,-3.572905794611229,-3.564276144547044,-3.41536,-3.74982539707367,-3.58226301106983,-3.5821494837174015,-3.556088,-3.760894779380171
-3.4879389671695082,-3.5531997625769423,-3.5729606831278504,-3.564171243660425,-3.4188254,-4.0967059238225785,-3.5832266320187776,-3.585241876547059,-3.5571358,-3.7674353095254256
-3.4879389671695082,-3.5531997625769423,-3.572054302012248,-3.5641084684527797,-3.4160964,-4.13164058090351,-3.5839175251497304,-3.587842257688436,-3.5577679,-4.017986035236428
-3.487938958485605,-3.5531997822581913,-3.574663356888101,-3.5668320948502767,-3.4190686,-3.709274181606732,-3.58364279456452,-3.5855304876868246,-3.5573428,-3.867821826240537
-3.487938967169507,-3.5531997822581944,-3.575700466496486,-3.566730563014005,-3.4027987,-3.7287106375462704,-3.583088138584597,-3.583961874606267,-3.5563188,-3.786618719577838
-3.487938958485604,-3.5531997822581953,-3.5715573177901323,-3.563903570210634,-3.4074771,-3.8025900298043283,-3.582732506555181,-3.581991067576091,-3.5531046,-3.7810805657483417
-3.4879389671695082,-3.553199782258193,-3.5716440314408593,-3.5629039924371746,-3.4177866,-3.7826942174954277,-3.5827694917318484,-3.582090423626589,-3.553374,-3.7462287651462356
-3.4879389671695047,-3.5531997625769467,-3.5749417436570385,-3.566129741950263,-3.418664,-3.7598554249167093,-3.584548530979726,-3.585202687482475,-3.5584993,-3.7571971653674985
-3.4879389584856053,-3.5531997822581918,-3.574107588399647,-3.5664526550336966,-3.4108632,-3.7592180316486195,-3.583648838933402,-3.584612222668568,-3.5562563,-4.043454826849309
-3.4879389671695047,-3.5531997822581904,-3.57174024195937,-3.567579228165277,-3.4109175,-3.790633132939164,-3.5807406557882486,-3.5802624243128776,-3.5502968,-4.192631411642088
