Type,Results
Linear,"[np.float64(-3.566879190308729), np.float64(-3.566879190880934), np.float64(-3.5684580779858273), np.float64(-3.5692471896247544), np.float64(-3.591442811277844), np.float64(-3.5908129421938697), np.float64(-3.5905100924858555), np.float64(-3.5900310478664066), np.float64(-3.5899130134324544), np.float64(-3.5898520026996037), np.float64(-3.589484960540206), np.float64(-3.5894441019785326), np.float64(-3.5865331865409953), np.float64(-3.587180377186775), np.float64(-3.5871085067627497), np.float64(-3.587613187672704), np.float64(-3.587529859230141), np.float64(-3.5851537750571785), np.float64(-3.585316997274208), np.float64(-3.5841375654076715), np.float64(-3.5831446459271947), np.float64(-3.5822972289686867), np.float64(-3.583934572167209), np.float64(-3.5832777500472632), np.float64(-3.5833203640728892), np.float64(-3.5833889415876445), np.float64(-3.5836805636299216), np.float64(-3.583714718440489), np.float64(-3.583137690928673), np.float64(-3.583395963536721), np.float64(-3.5834257944530794), np.float64(-3.5827971136847094), np.float64(-3.583007020709599), np.float64(-3.582482690337912), np.float64(-3.5820997105631527), np.float64(-3.583072357196399), np.float64(-3.5827390832869837), np.float64(-3.5823587170389923), np.float64(-3.5823731019385727), np.float64(-3.583100529530096), np.float64(-3.583306127345459), np.float64(-3.5830967239102653), np.float64(-3.5830701739495194), np.float64(-3.583078053075001), np.float64(-3.5831104712096327), np.float64(-3.583137692242591), np.float64(-3.5828867686803276), np.float64(-3.582912526508651), np.float64(-3.582934725579136), np.float64(-3.5827521394880404), np.float64(-3.5825774922933524), np.float64(-3.5825928449575533), np.float64(-3.5826880145689906), np.float64(-3.5826885349690727), np.float64(-3.5827741980564882), np.float64(-3.583202703356651), np.float64(-3.583217132260957), np.float64(-3.5831945867863535), np.float64(-3.5835617565340776), np.float64(-3.5836293689635896), np.float64(-3.5839579070535423), np.float64(-3.5839655695874417), np.float64(-3.5838218190981905), np.float64(-3.5836829048679117), np.float64(-3.5835485911962874), np.float64(-3.5833707842142983), np.float64(-3.5833743107922222), np.float64(-3.5833841006166334), np.float64(-3.583444890927182), np.float64(-3.5834510341068126), np.float64(-3.5833249082698395), np.float64(-3.5833856948602576), np.float64(-3.5834448598087354), np.float64(-3.5834530881206232), np.float64(-3.583427645826468), np.float64(-3.5834367241891334), np.float64(-3.5834928856616983), np.float64(-3.5835004286690357), np.float64(-3.5835109638428673), np.float64(-3.583520665156001)]"
Linear,"[np.float64(-3.566879190852336), np.float64(-3.5867531528125944), np.float64(-3.5796599860340264), np.float64(-3.58105937695673), np.float64(-3.58156695165969), np.float64(-3.580825960992896), np.float64(-3.5808009594774504), np.float64(-3.58127415240852), np.float64(-3.580745867828703), np.float64(-3.5819385409079723), np.float64(-3.5819900960705144), np.float64(-3.5819146268378104), np.float64(-3.581991712230298), np.float64(-3.5816055740108594), np.float64(-3.5816676362748385), np.float64(-3.581639352632569), np.float64(-3.5819285563701673), np.float64(-3.581553205668488), np.float64(-3.581549447740871), np.float64(-3.5818248297615507), np.float64(-3.5820738631714377), np.float64(-3.582112965640553), np.float64(-3.582165018557789), np.float64(-3.583175394914964), np.float64(-3.582823102891662), np.float64(-3.5828316763091306), np.float64(-3.582872358182072), np.float64(-3.58288319850434), np.float64(-3.583086148125891), np.float64(-3.5827495207064852), np.float64(-3.582438306040621), np.float64(-3.582149674003947), np.float64(-3.5818812781742113), np.float64(-3.582057134928806), np.float64(-3.5828417686461984), np.float64(-3.5828424711088536), np.float64(-3.582839029930721), np.float64(-3.582836147166555), np.float64(-3.5829784958702167), np.float64(-3.583004701402123), np.float64(-3.5830098849377787), np.float64(-3.582733955230686), np.float64(-3.582863022678269), np.float64(-3.5826095306382975), np.float64(-3.5826168386150425), np.float64(-3.582636659243037), np.float64(-3.5826555712784733), np.float64(-3.582672223581975), np.float64(-3.582483655954908), np.float64(-3.5823036512993847), np.float64(-3.582408581680713), np.float64(-3.58223516534818), np.float64(-3.5820691930615687), np.float64(-3.5821674477517265), np.float64(-3.5821848677680292), np.float64(-3.5822022485568534), np.float64(-3.582220583135219), np.float64(-3.5823159240686313), np.float64(-3.582132385355715), np.float64(-3.582596596748634), np.float64(-3.582601707391151), np.float64(-3.582460555593777), np.float64(-3.582472899269719), np.float64(-3.5828767717872854), np.float64(-3.582943697525171), np.float64(-3.582955680895017), np.float64(-3.5828210773599025), np.float64(-3.582830577143755), np.float64(-3.582839129385047), np.float64(-3.5828517619794815), np.float64(-3.5829229196207755), np.float64(-3.5829335759375875), np.float64(-3.5832761547342633), np.float64(-3.583590757375225), np.float64(-3.5836002972008876), np.float64(-3.583609564454294), np.float64(-3.583438787593969), np.float64(-3.5832782109484698), np.float64(-3.583285011609871), np.float64(-3.5833427104100926)]"
Linear,"[np.float64(-3.56422943755401), np.float64(-3.5655527495708124), np.float64(-3.567572436461462), np.float64(-3.5813839343418623), np.float64(-3.5818328808404463), np.float64(-3.5826995096841223), np.float64(-3.584767954709249), np.float64(-3.5861481753777573), np.float64(-3.584377513236304), np.float64(-3.58260422060049), np.float64(-3.581233761586444), np.float64(-3.581648908831437), np.float64(-3.5819994142993687), np.float64(-3.5825969827736), np.float64(-3.581601944570594), np.float64(-3.5817077047117034), np.float64(-3.583259894758554), np.float64(-3.582759285466545), np.float64(-3.5829339787254684), np.float64(-3.5824684509912896), np.float64(-3.5824909654062567), np.float64(-3.5826049994444418), np.float64(-3.582687464466905), np.float64(-3.5822517905620908), np.float64(-3.5818570216592787), np.float64(-3.581907780594869), np.float64(-3.5819563143100397), np.float64(-3.5820315081241985), np.float64(-3.5820691718370656), np.float64(-3.5821042405028356), np.float64(-3.5822908065676717), np.float64(-3.5824655420290696), np.float64(-3.5824883847220166), np.float64(-3.582509788607903), np.float64(-3.5826660155552643), np.float64(-3.5826826310583386), np.float64(-3.5828269376000073), np.float64(-3.5829301171834924), np.float64(-3.583075368425114), np.float64(-3.582739381431265), np.float64(-3.5823058279184345), np.float64(-3.583208988655131), np.float64(-3.58292905068692), np.float64(-3.583042293654687), np.float64(-3.583109893326515), np.float64(-3.5831666819841437), np.float64(-3.583181391064726), np.float64(-3.583231483950013), np.float64(-3.5832746890428187), np.float64(-3.5832918502173827), np.float64(-3.583870703652087), np.float64(-3.583897929875162), np.float64(-3.583911928575777), np.float64(-3.583577327566047), np.float64(-3.5836831892485836), np.float64(-3.5836185025537595), np.float64(-3.583560603278202), np.float64(-3.5835912179324425), np.float64(-3.584016548436244), np.float64(-3.5840994916540914), np.float64(-3.583826667140989), np.float64(-3.583768004165764), np.float64(-3.5835920491898663), np.float64(-3.5836003624329438), np.float64(-3.583431263244698), np.float64(-3.5835325893564534), np.float64(-3.583865556723484), np.float64(-3.5837205436220403), np.float64(-3.5837352445558195), np.float64(-3.5835935952650084), np.float64(-3.5836057102620904), np.float64(-3.5839114496251567), np.float64(-3.5839192833176905), np.float64(-3.583926432158943), np.float64(-3.5837898405233157), np.float64(-3.583612068329377), np.float64(-3.5834860419583796), np.float64(-3.583545532647122), np.float64(-3.583554102827781), np.float64(-3.5835619545433537)]"
Linear,"[np.float64(-3.5642294372186183), np.float64(-3.5642294372593812), np.float64(-3.5642294373050776), np.float64(-3.5877937732303993), np.float64(-3.5804859901010007), np.float64(-3.578265915003363), np.float64(-3.577748093157023), np.float64(-3.580715199291948), np.float64(-3.5830578911114417), np.float64(-3.582501739168226), np.float64(-3.582182017923636), np.float64(-3.5818944974063722), np.float64(-3.581788457496522), np.float64(-3.582042479563765), np.float64(-3.5816137768583487), np.float64(-3.581192570491412), np.float64(-3.5813454018125794), np.float64(-3.581426155891983), np.float64(-3.5814768654733062), np.float64(-3.5816289428448367), np.float64(-3.5813101798758), np.float64(-3.581021762078768), np.float64(-3.580782308927329), np.float64(-3.58093874379854), np.float64(-3.5807023098879345), np.float64(-3.580732609780097), np.float64(-3.5805051053581836), np.float64(-3.5806627402990996), np.float64(-3.5804453123795383), np.float64(-3.5802431093251537), np.float64(-3.5800546514027194), np.float64(-3.580072607567906), np.float64(-3.5810687170827142), np.float64(-3.5808999225988356), np.float64(-3.580889632498536), np.float64(-3.580915442029185), np.float64(-3.581039995065652), np.float64(-3.5810612395673838), np.float64(-3.581176376785076), np.float64(-3.581202527363094), np.float64(-3.5812250199624445), np.float64(-3.581051712507925), np.float64(-3.581159688141047), np.float64(-3.5811765564523377), np.float64(-3.581216689509457), np.float64(-3.5812504953885256), np.float64(-3.5813664897276465), np.float64(-3.581477603526018), np.float64(-3.581518119957498), np.float64(-3.5815532119575186), np.float64(-3.5813720160898788), np.float64(-3.581973225327002), np.float64(-3.5818044461066627), np.float64(-3.5818227928229414), np.float64(-3.581659742844035), np.float64(-3.581764009722979), np.float64(-3.581783789802042), np.float64(-3.5818827257850727), np.float64(-3.5819002264996915), np.float64(-3.581994336593553), np.float64(-3.582023024878201), np.float64(-3.582053850932314), np.float64(-3.58207832272734), np.float64(-3.582095103626976), np.float64(-3.582118190173645), np.float64(-3.582135536950233), np.float64(-3.58215232467098), np.float64(-3.5822423599447433), np.float64(-3.5822574376856844), np.float64(-3.582283515829895), np.float64(-3.582715810188802), np.float64(-3.5831070753101377), np.float64(-3.583089970293066), np.float64(-3.582914394486181), np.float64(-3.5827505979213212), np.float64(-3.582816304402416), np.float64(-3.582833953595465), np.float64(-3.582850047448301), np.float64(-3.5828648739508893), np.float64(-3.5831863984605743)]"
Linear,"[np.float64(-3.571613197096296), np.float64(-3.594194916055873), np.float64(-3.5941817267015352), np.float64(-3.5910657433292883), np.float64(-3.5822709313473347), np.float64(-3.5860279424497863), np.float64(-3.586020930742081), np.float64(-3.5860146013087704), np.float64(-3.5861149339652503), np.float64(-3.586641021000319), np.float64(-3.5867366600267903), np.float64(-3.585164126675698), np.float64(-3.583925925757761), np.float64(-3.5840046439877753), np.float64(-3.583024177823546), np.float64(-3.5830639210143795), np.float64(-3.583003854119413), np.float64(-3.583394606688755), np.float64(-3.583450307898724), np.float64(-3.5837817166877945), np.float64(-3.583817316219006), np.float64(-3.5836281176603713), np.float64(-3.5846894878353437), np.float64(-3.584191972096134), np.float64(-3.5850320557392363), np.float64(-3.585177629185611), np.float64(-3.585186768605272), np.float64(-3.585204507934426), np.float64(-3.58478830711074), np.float64(-3.5842185220539244), np.float64(-3.58423782456183), np.float64(-3.584253203037413), np.float64(-3.584265770941692), np.float64(-3.584424775082322), np.float64(-3.584073561083304), np.float64(-3.5837458557420936), np.float64(-3.5843721503703563), np.float64(-3.5842583823172562), np.float64(-3.584274424928987), np.float64(-3.5840111982523988), np.float64(-3.583665662663748), np.float64(-3.5837714335279056), np.float64(-3.583784992913336), np.float64(-3.583719955241044), np.float64(-3.5834258896115534), np.float64(-3.5834419342900494), np.float64(-3.5839025385264023), np.float64(-3.5839089307622385), np.float64(-3.583914456499272), np.float64(-3.584004444829821), np.float64(-3.5837383515137518), np.float64(-3.5837488373675237), np.float64(-3.583758091296884), np.float64(-3.583766314447725), np.float64(-3.583858022734918), np.float64(-3.5839464085739845), np.float64(-3.5840316676087793), np.float64(-3.5840418850892375), np.float64(-3.5840571765258877), np.float64(-3.5838691267228038), np.float64(-3.5836338378975783), np.float64(-3.5836452120157323), np.float64(-3.583659864395153), np.float64(-3.5836715301000095), np.float64(-3.5835021821265114), np.float64(-3.5833388714069083), np.float64(-3.5833513719389787), np.float64(-3.5833634881009164), np.float64(-3.58337678738848), np.float64(-3.5834557367828643), np.float64(-3.5834234319525935), np.float64(-3.583272793859951), np.float64(-3.583127015532489), np.float64(-3.583199160837261), np.float64(-3.5832130967468534), np.float64(-3.583285034262041), np.float64(-3.583608434481368), np.float64(-3.58361765793236), np.float64(-3.5835834620848974), np.float64(-3.583450569143891)]"
Linear,"[np.float64(-3.554833869845847), np.float64(-3.582831056732737), np.float64(-3.5833147590326178), np.float64(-3.5808222870043855), np.float64(-3.5820809021431463), np.float64(-3.580565831365508), np.float64(-3.57967116420037), np.float64(-3.579004512494593), np.float64(-3.579210721084243), np.float64(-3.5792947864086297), np.float64(-3.579339917443488), np.float64(-3.5796065760006712), np.float64(-3.5796640977239047), np.float64(-3.5823127118383638), np.float64(-3.5816569191228043), np.float64(-3.583350314254746), np.float64(-3.5832909088658007), np.float64(-3.583661586993391), np.float64(-3.583875399137678), np.float64(-3.584126781493095), np.float64(-3.5839965683927315), np.float64(-3.5841955306364333), np.float64(-3.5842232153593336), np.float64(-3.5842288477894417), np.float64(-3.5838403398061107), np.float64(-3.5834849776993662), np.float64(-3.583520616700942), np.float64(-3.5836972734496886), np.float64(-3.5836205019905187), np.float64(-3.583625250602725), np.float64(-3.5836290358531615), np.float64(-3.5842485030799915), np.float64(-3.5843893669589746), np.float64(-3.584408252300161), np.float64(-3.5844259873497553), np.float64(-3.584551960404997), np.float64(-3.5842644780796284), np.float64(-3.5842802384915435), np.float64(-3.5839098849991653), np.float64(-3.584019058568968), np.float64(-3.584031582715432), np.float64(-3.5841333789934904), np.float64(-3.5841433337899717), np.float64(-3.5841697470741405), np.float64(-3.5841924332234587), np.float64(-3.5846373506743348), np.float64(-3.5844008215142162), np.float64(-3.5844936557698386), np.float64(-3.5841732740138896), np.float64(-3.5841825830863128), np.float64(-3.583892152080975), np.float64(-3.584282281365451), np.float64(-3.5842895922540174), np.float64(-3.5841057656996385), np.float64(-3.5844608003602514), np.float64(-3.5845248388859803), np.float64(-3.5843548995880488), np.float64(-3.584108224006458), np.float64(-3.5841669172745627), np.float64(-3.5841720917233264), np.float64(-3.584188585538154), np.float64(-3.5841254474062088), np.float64(-3.5841403843789355), np.float64(-3.5840822676636437), np.float64(-3.584088038822613), np.float64(-3.5841022748321794), np.float64(-3.583958676682637), np.float64(-3.5839652989991664), np.float64(-3.5840218845058494), np.float64(-3.583971211996342), np.float64(-3.5839855953431057), np.float64(-3.5839986162535924), np.float64(-3.5840550581828974), np.float64(-3.5839194901344626), np.float64(-3.583974148052758), np.float64(-3.583842357260285), np.float64(-3.583848396834247), np.float64(-3.583862196905704), np.float64(-3.583733452634001), np.float64(-3.583745172438855)]"
Linear,"[np.float64(-3.5548338695611696), np.float64(-3.5828310477095244), np.float64(-3.5869524608975), np.float64(-3.5874658557260823), np.float64(-3.5873977719237353), np.float64(-3.5848157099571982), np.float64(-3.585042875240095), np.float64(-3.5839258727672565), np.float64(-3.583683437053064), np.float64(-3.583039944160527), np.float64(-3.5833010313698113), np.float64(-3.5833488740395683), np.float64(-3.582741203870549), np.float64(-3.5821290637290883), np.float64(-3.582140147348307), np.float64(-3.5821470721698767), np.float64(-3.5834072851083167), np.float64(-3.582981027485258), np.float64(-3.583221013319573), np.float64(-3.5831821341588936), np.float64(-3.5833660152948648), np.float64(-3.5829179962513713), np.float64(-3.582541425763386), np.float64(-3.582565950881435), np.float64(-3.5821946424808466), np.float64(-3.582273120827236), np.float64(-3.5820327282691298), np.float64(-3.582051963362299), np.float64(-3.5821961141236502), np.float64(-3.582330499119222), np.float64(-3.58209271844873), np.float64(-3.5821261534607975), np.float64(-3.5821532269243157), np.float64(-3.5821912111201293), np.float64(-3.582212437988018), np.float64(-3.582230299541691), np.float64(-3.582007652613763), np.float64(-3.5826264132279393), np.float64(-3.5826523349273014), np.float64(-3.5826768814622163), np.float64(-3.5824746961076936), np.float64(-3.582592637323433), np.float64(-3.5826050687827733), np.float64(-3.582628260419951), np.float64(-3.5826407623126264), np.float64(-3.5826645442110845), np.float64(-3.5828656683564177), np.float64(-3.582969303696169), np.float64(-3.5827894709485983), np.float64(-3.582887941568851), np.float64(-3.582904572850923), np.float64(-3.5827322193471036), np.float64(-3.582567095696719), np.float64(-3.582583983568637), np.float64(-3.5825967172071365), np.float64(-3.58260804127985), np.float64(-3.582446985235694), np.float64(-3.5828761243400122), np.float64(-3.5827252577273763), np.float64(-3.5831172232861586), np.float64(-3.5831319919619), np.float64(-3.5831462479993568), np.float64(-3.583222724697352), np.float64(-3.5832967934880697), np.float64(-3.5833034229935126), np.float64(-3.5831598489286325), np.float64(-3.5831726360175913), np.float64(-3.5831850276137147), np.float64(-3.5835238395487554), np.float64(-3.583590124187631), np.float64(-3.58359988831896), np.float64(-3.583605676739849), np.float64(-3.5836157766314143), np.float64(-3.583583881529391), np.float64(-3.58359322198617), np.float64(-3.583599749483408), np.float64(-3.5836625377442473), np.float64(-3.5836701145265737), np.float64(-3.583732806041268), np.float64(-3.5837939402692127)]"
Linear,"[np.float64(-3.5716131947140832), np.float64(-3.5941953572034038), np.float64(-3.584751251388256), np.float64(-3.5819063404979503), np.float64(-3.5828813045850367), np.float64(-3.5861108145221334), np.float64(-3.5863506375613783), np.float64(-3.5865268811526345), np.float64(-3.586661466382338), np.float64(-3.5854483644830193), np.float64(-3.584463868996745), np.float64(-3.583648530398105), np.float64(-3.5839243085164076), np.float64(-3.5836501962426692), np.float64(-3.583780494273287), np.float64(-3.583802907224205), np.float64(-3.583185635851043), np.float64(-3.5834048143669137), np.float64(-3.5836007374330503), np.float64(-3.583756493857542), np.float64(-3.583859938285037), np.float64(-3.5839335363849103), np.float64(-3.584193402993781), np.float64(-3.5842628135091052), np.float64(-3.5843166364027583), np.float64(-3.5843454945444453), np.float64(-3.584372212911755), np.float64(-3.584420277931832), np.float64(-3.5841990449721064), np.float64(-3.5836956895921515), np.float64(-3.583726895767835), np.float64(-3.583179226251576), np.float64(-3.5832086405413914), np.float64(-3.58272567128423), np.float64(-3.58275811095091), np.float64(-3.582969675837343), np.float64(-3.5826128623112954), np.float64(-3.5833921936396522), np.float64(-3.583434415807846), np.float64(-3.5840649445002404), np.float64(-3.584079620677799), np.float64(-3.5836962310817464), np.float64(-3.5836256403514075), np.float64(-3.583730090368479), np.float64(-3.583659674506179), np.float64(-3.5836696095572282), np.float64(-3.5837601831098427), np.float64(-3.583768163467841), np.float64(-3.583546279139571), np.float64(-3.583585115451634), np.float64(-3.5836745788714577), np.float64(-3.5837740425045386), np.float64(-3.5837135097392245), np.float64(-3.583532696073035), np.float64(-3.5836035903077286), np.float64(-3.5836367330670638), np.float64(-3.583665926652297), np.float64(-3.5836918233564377), np.float64(-3.583714959295733), np.float64(-3.584073595201567), np.float64(-3.584090416000156), np.float64(-3.5840993007445117), np.float64(-3.5839241575893617), np.float64(-3.583933522505208), np.float64(-3.583942585629588), np.float64(-3.5839583162843227), np.float64(-3.58373662300643), np.float64(-3.583577777696443), np.float64(-3.583380802891238), np.float64(-3.583235663390305), np.float64(-3.5835601925122713), np.float64(-3.583381397298984), np.float64(-3.5833903138899434), np.float64(-3.5832607240165797), np.float64(-3.583272876898518), np.float64(-3.5835685368222516), np.float64(-3.5835770154037956), np.float64(-3.5835860098695775), np.float64(-3.5836450824180446), np.float64(-3.5835206628497307)]"
Linear,"[np.float64(-3.5668791903703476), np.float64(-3.5692471904006706), np.float64(-3.5847042327630625), np.float64(-3.5856186543996715), np.float64(-3.5861212230727912), np.float64(-3.584376976969212), np.float64(-3.584774289457926), np.float64(-3.585070432605193), np.float64(-3.5832752656778175), np.float64(-3.583266549125157), np.float64(-3.5824475455053992), np.float64(-3.5823761255176247), np.float64(-3.5818569076946227), np.float64(-3.5822377711116715), np.float64(-3.5822518114916986), np.float64(-3.582472908981403), np.float64(-3.582718373981214), np.float64(-3.582936339504052), np.float64(-3.583149882748534), np.float64(-3.583045640266642), np.float64(-3.5840736173377694), np.float64(-3.583641418146372), np.float64(-3.583525171214465), np.float64(-3.583606224861958), np.float64(-3.583249336481539), np.float64(-3.5832998469528743), np.float64(-3.5833217439329363), np.float64(-3.583341955723316), np.float64(-3.5829188625464075), np.float64(-3.5830545992214775), np.float64(-3.5827587982705498), np.float64(-3.582774143083097), np.float64(-3.582896067609216), np.float64(-3.582618746835435), np.float64(-3.582731467941478), np.float64(-3.5827125564397315), np.float64(-3.5824012925946853), np.float64(-3.5824824475102544), np.float64(-3.582579586556247), np.float64(-3.582671828873568), np.float64(-3.582446790198193), np.float64(-3.5822333191086138), np.float64(-3.581984621107826), np.float64(-3.5819917120562668), np.float64(-3.5820731707833557), np.float64(-3.581883958466502), np.float64(-3.5819492064393756), np.float64(-3.5820044964504185), np.float64(-3.5820519256780816), np.float64(-3.5826023152820485), np.float64(-3.582693493652526), np.float64(-3.5831704642074076), np.float64(-3.5835951932988843), np.float64(-3.5834259490540754), np.float64(-3.5832633252796864), np.float64(-3.5830521109346654), np.float64(-3.583060670270579), np.float64(-3.5834481639320983), np.float64(-3.5834620587796144), np.float64(-3.5834743021386872), np.float64(-3.5833287794814828), np.float64(-3.5833382932413036), np.float64(-3.58340336378655), np.float64(-3.583416423218737), np.float64(-3.5834280911453957), np.float64(-3.5834381628421386), np.float64(-3.5835056610618055), np.float64(-3.5835191606050776), np.float64(-3.583528770436601), np.float64(-3.583541656719004), np.float64(-3.583610506514022), np.float64(-3.5834191446154877), np.float64(-3.583280810471275), np.float64(-3.5832945361310697), np.float64(-3.583304473106551), np.float64(-3.583314164150634), np.float64(-3.58329060555398), np.float64(-3.5833042269912165), np.float64(-3.5831746278691368), np.float64(-3.5834740788119963)]"
Linear,"[np.float64(-3.5668791908331916), np.float64(-3.569247189178033), np.float64(-3.5675724357002805), np.float64(-3.5673992641906245), np.float64(-3.581832757564728), np.float64(-3.5821219247802505), np.float64(-3.579616066028241), np.float64(-3.5804169199612894), np.float64(-3.5788462990755923), np.float64(-3.5788713545937285), np.float64(-3.5776701477502626), np.float64(-3.5767227162732063), np.float64(-3.5781572676905777), np.float64(-3.5793316882070245), np.float64(-3.5787415164496608), np.float64(-3.5791271710256147), np.float64(-3.5793503646720053), np.float64(-3.57883966002096), np.float64(-3.57898351922648), np.float64(-3.5790845457802822), np.float64(-3.5789716119457378), np.float64(-3.5795156074574725), np.float64(-3.5796113977135824), np.float64(-3.579699098710875), np.float64(-3.57977341443351), np.float64(-3.5798315674752517), np.float64(-3.5794849951182104), np.float64(-3.579530114284189), np.float64(-3.580985285910554), np.float64(-3.581172245198382), np.float64(-3.5814193075737215), np.float64(-3.5816503342160377), np.float64(-3.581699718100469), np.float64(-3.582620737242605), np.float64(-3.582631193081548), np.float64(-3.5826435809455717), np.float64(-3.582651843539267), np.float64(-3.5823596799304687), np.float64(-3.5825195939626098), np.float64(-3.5822732025391084), np.float64(-3.5824228537296428), np.float64(-3.582450910093221), np.float64(-3.582470935197006), np.float64(-3.582499678700552), np.float64(-3.582264806045777), np.float64(-3.582404126408937), np.float64(-3.582426106611062), np.float64(-3.5830215029777985), np.float64(-3.582765422780126), np.float64(-3.5827788130951213), np.float64(-3.582801678606125), np.float64(-3.5829180994859815), np.float64(-3.5830300109744817), np.float64(-3.583505652134291), np.float64(-3.583602482010745), np.float64(-3.5834049813242115), np.float64(-3.5834977632453677), np.float64(-3.583510486434219), np.float64(-3.583266870472502), np.float64(-3.583672042352419), np.float64(-3.5836870259222326), np.float64(-3.5836980211403953), np.float64(-3.5835264826861803), np.float64(-3.583618130140032), np.float64(-3.5834663165234812), np.float64(-3.583274543917652), np.float64(-3.5831359971605607), np.float64(-3.583145541172949), np.float64(-3.5831569153194374), np.float64(-3.583225400461622), np.float64(-3.583235576599577), np.float64(-3.583247677969635), np.float64(-3.583227247558946), np.float64(-3.5832371978702158), np.float64(-3.5831071150100287), np.float64(-3.5831178375942763), np.float64(-3.5831829578668426), np.float64(-3.5831943935577075), np.float64(-3.58325947579917), np.float64(-3.583322882045195)]"
