Type,Results
Linear,"[np.float64(-3.58344079238892), np.float64(-3.5843806682585133), np.float64(-3.5844894477493616), np.float64(-3.584429447362835), np.float64(-3.5843759468846828), np.float64(-3.5843398319515196)]"
Linear,"[np.float64(-3.5841584195583245), np.float64(-3.583391831182606), np.float64(-3.5843345281208876), np.float64(-3.5843050577426334), np.float64(-3.584528934292533), np.float64(-3.5845211497699947)]"
Linear,"[np.float64(-3.5834683834726633), np.float64(-3.5832703598816495), np.float64(-3.5837100789292307), np.float64(-3.5845654544177616), np.float64(-3.5844570033234833), np.float64(-3.5845740759950147)]"
Linear,"[np.float64(-3.5824250904835924), np.float64(-3.582181036200141), np.float64(-3.5829192531178955), np.float64(-3.5830585085063795), np.float64(-3.583529890785846), np.float64(-3.583832118528097)]"
Linear,"[np.float64(-3.5828540173434322), np.float64(-3.5826289028369267), np.float64(-3.5837936919751967), np.float64(-3.5834364455209524), np.float64(-3.5839843638747317), np.float64(-3.58412629130019)]"
Linear,"[np.float64(-3.583177048953463), np.float64(-3.582808531491282), np.float64(-3.5829433088185274), np.float64(-3.5836089181078714), np.float64(-3.5837044427578277), np.float64(-3.5840529919175403)]"
Linear,"[np.float64(-3.5825684692561177), np.float64(-3.5825532934336852), np.float64(-3.584268784552205), np.float64(-3.5837360980677655), np.float64(-3.5840480985086636), np.float64(-3.584235457727242)]"
Linear,"[np.float64(-3.582793122584423), np.float64(-3.5843740779812245), np.float64(-3.583958842023372), np.float64(-3.5843122969057983), np.float64(-3.5843667133268426), np.float64(-3.584289534549661)]"
Linear,"[np.float64(-3.582136109127445), np.float64(-3.583980375611256), np.float64(-3.5840089875190846), np.float64(-3.58342964350099), np.float64(-3.5837536159592185), np.float64(-3.5838932681578637)]"
Linear,"[np.float64(-3.583125278378068), np.float64(-3.5835453075052963), np.float64(-3.5833928282626735), np.float64(-3.583779357499428), np.float64(-3.5839401811648512), np.float64(-3.584254961203681)]"
