Type,Results
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.525036987394367), np.float64(-3.522199571750901), np.float64(-3.5242078424796905), np.float64(-3.5128858134374727), np.float64(-3.5122608016040022), np.float64(-3.489664370699724), np.float64(-3.469382906211247), np.float64(-3.489379807916475), np.float64(-3.44225581708667), np.float64(-3.4268820948339984), np.float64(-3.409953126876479), np.float64(-3.376559983780194), np.float64(-3.3505842021790015), np.float64(-3.2999599964011486), np.float64(-3.286095283562806), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.109371964874198), np.float64(-3.1044375493525367), np.float64(-3.095178488394946), np.float64(-3.099398465735902), np.float64(-3.0878015842499393), np.float64(-3.082458285109724), np.float64(-3.0718196557803292), np.float64(-3.061342980486333), np.float64(-3.0672031818363745), np.float64(-3.0416822219115693), np.float64(-3.035562898596783), np.float64(-3.0319523909242725), np.float64(-3.0189669304137303), np.float64(-3.004799430754636), np.float64(-2.984605765447291), np.float64(-2.9778311454468516), np.float64(-2.9647986418703804), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.523364248566287), np.float64(-3.5253606340746226), np.float64(-3.521674749146549), np.float64(-3.5223887474052806), np.float64(-3.520881192920592), np.float64(-3.5122262213817894), np.float64(-3.5091912024859346), np.float64(-3.475464184899444), np.float64(-3.4863726502176666), np.float64(-3.4647717050169144), np.float64(-3.44164230228283), np.float64(-3.379186072259815), np.float64(-3.361660196303379), np.float64(-3.364910117225398), np.float64(-3.3040403665492675), np.float64(-3.270718325164457), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1040210213614827), np.float64(-3.1021489345321758), np.float64(-3.099320120051957), np.float64(-3.092472397581788), np.float64(-3.0893664947808968), np.float64(-3.080469476937064), np.float64(-3.068059165394243), np.float64(-3.0643743475363183), np.float64(-3.059768228579934), np.float64(-3.0416377973362354), np.float64(-3.0167923329925643), np.float64(-3.009747756174655), np.float64(-3.0145613907597504), np.float64(-2.987127311944845), np.float64(-2.9719549062943362), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.525225412312746), np.float64(-3.5228406440503477), np.float64(-3.5227052927566924), np.float64(-3.5209390452859437), np.float64(-3.5198722402944), np.float64(-3.5023407325086207), np.float64(-3.503917582175274), np.float64(-3.4878434586911364), np.float64(-3.4608861232746535), np.float64(-3.4000779969085806), np.float64(-3.4288528899653206), np.float64(-3.385973227489043), np.float64(-3.3687471672334466), np.float64(-3.320189456251476), np.float64(-3.2898574644432523), np.float64(-3.2484699115769162), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1049857863917385), np.float64(-3.102114298706011), np.float64(-3.101456423580068), np.float64(-3.095917810944315), np.float64(-3.088287926121963), np.float64(-3.0814303633987197), np.float64(-3.0783346599369783), np.float64(-3.0702792025020114), np.float64(-3.054465547428296), np.float64(-3.0259711994371057), np.float64(-3.039150572293215), np.float64(-3.0214117036620243), np.float64(-3.014976625617962), np.float64(-2.994620577017808), np.float64(-2.9792721142643206), np.float64(-2.9647986418703796), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.520797676453265), np.float64(-3.522164856650678), np.float64(-3.522878996532495), np.float64(-3.51097069403483), np.float64(-3.5125296046584085), np.float64(-3.5133393437507436), np.float64(-3.486544600203331), np.float64(-3.4551831868200824), np.float64(-3.4660187186391758), np.float64(-3.404474340186831), np.float64(-3.4229720691828107), np.float64(-3.4034560412591772), np.float64(-3.3434243526963385), np.float64(-3.343143699633873), np.float64(-3.2783231297379687), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.109371964874198), np.float64(-3.103788770973249), np.float64(-3.1002928094873132), np.float64(-3.0982540337125326), np.float64(-3.085850495331609), np.float64(-3.0899864772997043), np.float64(-3.0801163789458768), np.float64(-3.0738885902602178), np.float64(-3.0527509270750772), np.float64(-3.057357779774603), np.float64(-3.0294133678653945), np.float64(-3.041576665988812), np.float64(-3.025386110574541), np.float64(-3.003068772954621), np.float64(-3.0027681364005874), np.float64(-2.9761942687173013), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.523364248566287), np.float64(-3.525150048748367), np.float64(-3.5229970648455526), np.float64(-3.5168277868864686), np.float64(-3.5137087604477073), np.float64(-3.509019351984707), np.float64(-3.486305862211864), np.float64(-3.5018135197126865), np.float64(-3.4670735219020727), np.float64(-3.461092603346231), np.float64(-3.430858327424239), np.float64(-3.4026456091118833), np.float64(-3.371702942309797), np.float64(-3.3759608362922298), np.float64(-3.319519679191087), np.float64(-3.2921141588957843), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1037490159957604), np.float64(-3.104654292378593), np.float64(-3.096358851025507), np.float64(-3.090470896302727), np.float64(-3.0870506875761854), np.float64(-3.069173511891221), np.float64(-3.0755197623605), np.float64(-3.0536939608448677), np.float64(-3.0524601312337034), np.float64(-3.0426313166865877), np.float64(-3.0300537413064803), np.float64(-3.0117377967291676), np.float64(-3.0153549877808588), np.float64(-2.9925925081984426), np.float64(-2.980898479447802), np.float64(-2.9647986418703804), np.float64(-2.9498552229188104)]"
